raw_text,canonical_name,category,subcategory
TST* PET CARE VET CALGARY AB,Pet Care Vet,Health & Wellness,Veterinary
BANFIELD PET HOSPITAL OTTAWA ON,Banfield Pet Hospital,Health & Wellness,Veterinary
VCA ANIMAL HOSPITAL MISSISSAUGA ON,VCA Animal Hospital,Health & Wellness,Veterinary
SQ *HEALTHY PAWS VET EDMONTON AB,Healthy Paws Vet,Health & Wellness,Veterinary
ALTIMA DENTAL #847 TORONTO ON,Altima Dental,Health & Wellness,Dental Services
DENTALCORP CLINIC VANCOUVER BC,Dentalcorp,Health & Wellness,Dental Services
SQ *SMILE DENTAL CALGARY AB,Smile Dental,Health & Wellness,Dental Services
TST* FAMILY DENTIST OTTAWA ON,Family Dentist,Health & Wellness,Dental Services
SQ *BRIGHT SMILE DENTAL MISSISSAUGA ON,Bright Smile Dental,Health & Wellness,Dental Services
123DENTIST BURNABY BC,123Dentist,Health & Wellness,Dental Services
AXIOM DENTAL HAMILTON ON,Axiom Dental,Health & Wellness,Dental Services
SQ *CITY CHIRO CLINIC TORONTO ON,City Chiro Clinic,Health & Wellness,Chiropractic
TST* SPINE HEALTH CHIRO VANCOUVER BC,Spine Health Chiro,Health & Wellness,Chiropractic
SQ *BACK IN ACTION CALGARY AB,Back in Action,Health & Wellness,Chiropractic
LIFEFORCE CHIROPRACTIC OAKVILLE ON,LifeForce Chiropractic,Health & Wellness,Chiropractic
SQ *WELLNESS CHIRO OTTAWA ON,Wellness Chiro,Health & Wellness,Chiropractic
MASSAGE ADDICT #847 TORONTO ON,Massage Addict,Health & Wellness,Massage Therapy
ELEMENTS MASSAGE VANCOUVER BC,Elements Massage,Health & Wellness,Massage Therapy
SQ *RELAX MASSAGE SPA MISSISSAUGA ON,Relax Massage Spa,Health & Wellness,Massage Therapy
TOYS R US #2847 VAUGHAN ON,Toys R Us,Shopping,Toys
TOYS R US CANADA SCARBOROUGH ON,Toys R Us,Shopping,Toys
BABIES R US #847 TORONTO ON,Babies R Us,Shopping,Baby Products
BABIES R US MISSISSAUGA ON,Babies R Us,Shopping,Baby Products
MASTERMIND TOYS #284 OTTAWA ON,Mastermind Toys,Shopping,Toys
MASTERMIND TOYS #847 CALGARY AB,Mastermind Toys,Shopping,Toys
INDIGO KIDS #2847 VANCOUVER BC,Indigo,Shopping,Books & Toys
WEST COAST KIDS BURNABY BC,West Coast Kids,Shopping,Baby Products
SNUGGLE BUGZ MARKHAM ON,Snuggle Bugz,Shopping,Baby Products
SQ *LITTLE LEARNERS DAYCARE TORONTO ON,Little Learners Daycare,Education & Learning,Childcare
TST* BRIGHT START DAYCARE VANCOUVER BC,Bright Start Daycare,Education & Learning,Childcare
SQ *KIDS FIRST DAYCARE CALGARY AB,Kids First Daycare,Education & Learning,Childcare
SQ *HAPPY DAYS CHILDCARE OTTAWA ON,Happy Days Childcare,Education & Learning,Childcare
YMCA CHILDCARE MISSISSAUGA ON,YMCA,Education & Learning,Childcare
KUMON MATH & READING TORONTO ON,Kumon,Education & Learning,Tutoring
KUMON LEARNING CENTRE VANCOUVER BC,Kumon,Education & Learning,Tutoring
OXFORD LEARNING #847 CALGARY AB,Oxford Learning,Education & Learning,Tutoring
SYLVAN LEARNING CENTRE OTTAWA ON,Sylvan Learning,Education & Learning,Tutoring
MATHNASIUM LEARNING MARKHAM ON,Mathnasium,Education & Learning,Tutoring
ONCE UPON A CHILD EDMONTON AB,Once Upon A Child,Shopping,Consignment Store
HTL*MARRIOTT DOWNTOWN TORONTO ON,Marriott,Travel & Accommodation,Hotel
HTL*MARRIOTT RESIDENCE INN VANCOUVER BC,Marriott,Travel & Accommodation,Hotel
HTL*HILTON GARDEN INN CALGARY AB,Hilton,Travel & Accommodation,Hotel
HTL*HILTON DOUBLETREE MONTREAL QC,Hilton,Travel & Accommodation,Hotel
HOLIDAY INN EXPRESS OTTAWA ON,Holiday Inn,Travel & Accommodation,Hotel
BEST WESTERN PLUS EDMONTON AB,Best Western,Travel & Accommodation,Hotel
HTL*DELTAHOTELS MARRIOTT WINNIPEG MB,Delta Hotels,Travel & Accommodation,Hotel
HTL*FAIRMONT VANCOUVER BC,Fairmont,Travel & Accommodation,Hotel
HTL*SHERATONCENTRE 8004683578 ON,Sheraton,Travel & Accommodation,Hotel
HTL*HYATTREGENCY CALGARY AB,Hyatt,Travel & Accommodation,Hotel
HTL*COURTYARD MARRIOTT MISSISSAUGA ON,Marriott,Travel & Accommodation,Hotel
AIRBNB *HMSZ8K47P AIRBNB.COM CA,Airbnb,Travel & Accommodation,Vacation Rental
AIRBNB *WEEKEND STAY AIRBNB.CA ON,Airbnb,Travel & Accommodation,Vacation Rental
VRBO *COTTAGE RENTAL VRBO.COM CA,VRBO,Travel & Accommodation,Vacation Rental
HOTELS.COM BOOKING HOTELS.COM CA,Hotels.com,Travel & Accommodation,Travel Booking
PRICELINE.COM TRAVEL PRICELINE.COM CA,Priceline,Travel & Accommodation,Travel Booking
AIR CANADA AC*2K4M8P AIRCANADA.COM ON,Air Canada,Travel & Accommodation,Airline
AIR CANADA MAPLE LEAF LOUNGE YYZ ON,Air Canada,Travel & Accommodation,Airport Lounge
WESTJET WS*BOOKING WESTJET.COM AB,WestJet,Travel & Accommodation,Airline
PORTER AIRLINES PD847 FLYPORTER.COM ON,Porter Airlines,Travel & Accommodation,Airline
FLAIR AIRLINES FLYFLAIR.COM AB,Flair Airlines,Travel & Accommodation,Airline
AIR TRANSAT BOOKING AIRTRANSAT.COM QC,Air Transat,Travel & Accommodation,Airline
SWOOP AIRLINES FLYSWOOP.COM AB,Swoop,Travel & Accommodation,Airline
UNITED AIRLINES UNITED.COM USA,United Airlines,Travel & Accommodation,Airline
AMERICAN AIRLINES AA.COM USA,American Airlines,Travel & Accommodation,Airline
CINEPLEX ODEON #2847 TORONTO ON,Cineplex,Entertainment,Movies
CINEPLEX VIP MISSISSAUGA ON,Cineplex,Entertainment,Movies
LANDMARK CINEMAS CALGARY AB,Landmark Cinemas,Entertainment,Movies
SCOTIABANK THEATRE VANCOUVER BC,Cineplex,Entertainment,Movies
IMAX THEATRE TORONTO ON,Cineplex,Entertainment,Movies
SQ *BLUEMOUNTAIN RESORT COLLINGWOOD ON,Blue Mountain,Travel & Accommodation,Ski Resort
WHISTLER BLACKCOMB WHISTLER BC,Whistler Blackcomb,Travel & Accommodation,Ski Resort
MONT TREMBLANT RESORT TREMBLANT QC,Mont Tremblant,Travel & Accommodation,Ski Resort
SUNSHINE VILLAGE BANFF AB,Sunshine Village,Travel & Accommodation,Ski Resort
LAKE LOUISE SKI RESORT LAKE LOUISE AB,Lake Louise,Travel & Accommodation,Ski Resort
BIG WHITE SKI RESORT KELOWNA BC,Big White,Travel & Accommodation,Ski Resort
SQ *PINE VALLEY GOLF VAUGHAN ON,Pine Valley Golf,Entertainment,Golf Course
CLUBLINK GOLF #847 KING CITY ON,ClubLink,Entertainment,Golf Course
ANGUS GLEN GOLF MARKHAM ON,Angus Glen,Entertainment,Golf Course
SQ *RIVERSIDE GOLF CALGARY AB,Riverside Golf,Entertainment,Golf Course
MACDONALD GOLF CLUB EDMONTON AB,Macdonald Golf,Entertainment,Golf Course
FLIGHT CENTRE TRAVEL TORONTO ON,Flight Centre,Travel & Accommodation,Travel Agency
RED TAG VACATIONS REDTAG.CA ON,Red Tag Vacations,Travel & Accommodation,Travel Agency
TRANSAT DISTRIBUTION CANADA QC,Transat,Travel & Accommodation,Travel Agency
TRIPCENTRAL.CA BOOKING TRIPCENTRAL.CA ON,TripCentral,Travel & Accommodation,Travel Agency
KAYAK.COM TRAVEL KAYAK.COM CA,Kayak,Travel & Accommodation,Travel Booking
SKYSCANNER TRAVEL SKYSCANNER.CA UK,Skyscanner,Travel & Accommodation,Travel Booking
ONETRAVEL.COM TRAVEL ONETRAVEL.COM CA,OneTravel,Travel & Accommodation,Travel Booking
TRAVELOCITY.CA BOOKING TRAVELOCITY.CA ON,Travelocity,Travel & Accommodation,Travel Booking
HOTWIRE.COM DEALS HOTWIRE.COM CA,Hotwire,Travel & Accommodation,Travel Booking
STARBUCKS RESERVE BAR TORONTO ON,Starbucks,Food & Dining,Coffee Shop
SECOND CUP COFFEE #2847 VANCOUVER BC,Second Cup,Food & Dining,Coffee Shop
AROMA ESPRESSO BAR TORONTO ON,Aroma,Food & Dining,Coffee Shop
BALZAC'S COFFEE #847 STRATFORD ON,Balzac's Coffee,Food & Dining,Coffee Shop
MURCHIE'S TEA & COFFEE VICTORIA BC,Murchie's,Food & Dining,Coffee Shop
BRIDGEHEAD COFFEE OTTAWA ON,Bridgehead,Food & Dining,Coffee Shop
BLENZ COFFEE VANCOUVER BC,Blenz Coffee,Food & Dining,Coffee Shop
THE KEG STEAKHOUSE MISSISSAUGA ON,The Keg,Food & Dining,Restaurant
EARLS KITCHEN + BAR CALGARY AB,Earls,Food & Dining,Restaurant
CACTUS CLUB CAFE VANCOUVER BC,Cactus Club,Food & Dining,Restaurant
MILESTONES GRILL TORONTO ON,Milestones,Food & Dining,Restaurant
MOXIE'S GRILL & BAR EDMONTON AB,Moxie's,Food & Dining,Restaurant
SWISS CHALET #2847 SCARBOROUGH ON,Swiss Chalet,Food & Dining,Restaurant
ST-HUBERT ROTISSERIE MONTREAL QC,St-Hubert,Food & Dining,Restaurant
MONTANA'S BBQ & BAR OTTAWA ON,Montana's,Food & Dining,Restaurant
KELSEY'S ORIGINAL ROADHOUSE HAMILTON ON,Kelsey's,Food & Dining,Restaurant
EAST SIDE MARIO'S VAUGHAN ON,East Side Mario's,Food & Dining,Restaurant
JACK ASTOR'S BAR TORONTO ON,Jack Astor's,Food & Dining,Restaurant
SHOELESS JOE'S BURLINGTON ON,Shoeless Joe's,Food & Dining,Restaurant
SQ *POKE BOWL BAR VANCOUVER BC,Poke Bowl Bar,Food & Dining,Fast Casual
SQ *FRESH JUICE CO TORONTO ON,Fresh Juice Co,Food & Dining,Juice Bar
FRESHII #847 CALGARY AB,Freshii,Food & Dining,Fast Casual
CHOPPED LEAF #284 EDMONTON AB,Chopped Leaf,Food & Dining,Fast Casual
MUCHO BURRITO MISSISSAUGA ON,Mucho Burrito,Food & Dining,Fast Food
FAT BASTARD BURRITO OTTAWA ON,Fat Bastard Burrito,Food & Dining,Fast Food
QUESADA BURRITOS VANCOUVER BC,Quesada,Food & Dining,Fast Food
EXTREME PITA #847 TORONTO ON,Extreme Pita,Food & Dining,Fast Food
NEW YORK FRIES YORKDALE TORONTO ON,New York Fries,Food & Dining,Fast Food
MARY BROWN'S CHICKEN ST JOHN'S NL,Mary Brown's,Food & Dining,Fast Food
POPEYES CHICKEN #2847 BRAMPTON ON,Popeyes,Food & Dining,Fast Food
KFC #8473 VANCOUVER BC,KFC,Food & Dining,Fast Food
DAIRY QUEEN #2847 WINNIPEG MB,Dairy Queen,Food & Dining,Fast Food
WENDY'S #8473 CALGARY AB,Wendy's,Food & Dining,Fast Food
FIVE GUYS BURGERS TORONTO ON,Five Guys,Food & Dining,Fast Food
CHIPOTLE MEXICAN GRILL VANCOUVER BC,Chipotle,Food & Dining,Fast Casual
PANERA BREAD MISSISSAUGA ON,Panera Bread,Food & Dining,Fast Casual
OSMOW'S SHAWARMA HAMILTON ON,Osmow's,Food & Dining,Fast Food
LAZEEZ SHAWARMA WATERLOO ON,Lazeez,Food & Dining,Fast Food
PIZZA NOVA #847 TORONTO ON,Pizza Nova,Food & Dining,Fast Food
DOMINO'S PIZZA #2847 VANCOUVER BC,Domino's,Food & Dining,Fast Food
PAPA JOHN'S PIZZA CALGARY AB,Papa John's,Food & Dining,Fast Food
LITTLE CAESARS #847 OTTAWA ON,Little Caesars,Food & Dining,Fast Food
PANAGO PIZZA BURNABY BC,Panago,Food & Dining,Fast Food
BOSTON PIZZA #1847 EDMONTON AB,Boston Pizza,Food & Dining,Restaurant
SQ *BUBBLE TEA SPOT MARKHAM ON,Bubble Tea Spot,Food & Dining,Beverage
CHATIME #847 SCARBOROUGH ON,Chatime,Food & Dining,Beverage
COCO FRESH TEA RICHMOND BC,CoCo Fresh Tea,Food & Dining,Beverage
GONG CHA BUBBLE TEA TORONTO ON,Gong Cha,Food & Dining,Beverage
THE ALLEY BUBBLE TEA VANCOUVER BC,The Alley,Food & Dining,Beverage
CANADIAN TIRE #3910 BARRIE ON,Canadian Tire,Shopping,Department Store
WINNERS #2847 AJAX ON,Winners,Shopping,Clothing
HOMESENSE #1847 PICKERING ON,HomeSense,Shopping,Home Goods
MARSHALLS #847 BURLINGTON ON,Marshalls,Shopping,Clothing
SPORTCHEK #2847 LONDON ON,Sport Chek,Shopping,Sporting Goods
ATMOSPHERE #847 OTTAWA ON,Atmosphere,Shopping,Sporting Goods
MARKS WORK WEARHOUSE CALGARY AB,Mark's,Shopping,Clothing
OLD NAVY #2847 MISSISSAUGA ON,Old Navy,Shopping,Clothing
GAP STORE #847 VANCOUVER BC,Gap,Shopping,Clothing
BANANA REPUBLIC TORONTO ON,Banana Republic,Shopping,Clothing
H&M #2847 MONTREAL QC,H&M,Shopping,Clothing
ZARA YORKDALE TORONTO ON,Zara,Shopping,Clothing
UNIQLO EATON CENTRE TORONTO ON,Uniqlo,Shopping,Clothing
URBAN OUTFITTERS VANCOUVER BC,Urban Outfitters,Shopping,Clothing
AMERICAN EAGLE #847 CALGARY AB,American Eagle,Shopping,Clothing
GARAGE CLOTHING MONTREAL QC,Garage,Shopping,Clothing
ARDENE #847 WINNIPEG MB,Ardene,Shopping,Clothing
LA SENZA #284 OTTAWA ON,La Senza,Shopping,Clothing
VICTORIA'S SECRET TORONTO ON,Victoria's Secret,Shopping,Clothing
BATH & BODY WKS SQUARE ONE MISSISSAUGA ON,Bath & Body Works,Personal Care,Personal Care Products
THE BODY SHOP #847 VANCOUVER BC,The Body Shop,Personal Care,Personal Care Products
SEPHORA #2847 YORKDALE TORONTO ON,Sephora,Personal Care,Cosmetics
SHOPPERS BEAUTY BOUTIQUE MARKHAM ON,Shoppers Drug Mart,Personal Care,Cosmetics
MURALE BEAUTY #847 MISSISSAUGA ON,Murale,Personal Care,Cosmetics
ULTA BEAUTY CROSS BORDER USA,Ulta Beauty,Personal Care,Cosmetics
NORDSTROM RACK OTTAWA ON,Nordstrom Rack,Shopping,Clothing
WALMART SUPERCTR #3847 HAMILTON ON,Walmart,Shopping,Department Store
REAL CANADIAN SUPERSTORE VANCOUVER BC,Superstore,Food & Dining,Grocery
ZEHRS MARKETS #847 KITCHENER ON,Zehrs,Food & Dining,Grocery
VALU-MART #284 GUELPH ON,Valu-Mart,Food & Dining,Grocery
YOUR INDEPENDENT GROCER LONDON ON,YIG,Food & Dining,Grocery
FOOD BASICS #2847 SCARBOROUGH ON,Food Basics,Food & Dining,Grocery
SHELL SELECT CONVENIENCE CALGARY AB,Shell,Shopping,Convenience Store
7-ELEVEN #28473 VANCOUVER BC,7-Eleven,Shopping,Convenience Store
CIRCLE K #847 OTTAWA ON,Circle K,Shopping,Convenience Store
HASTY MARKET #284 TORONTO ON,Hasty Market,Shopping,Convenience Store
RABBA FINE FOODS TORONTO ON,Rabba,Shopping,Convenience Store
COUCHE-TARD #2847 MONTREAL QC,Couche-Tard,Shopping,Convenience Store
MAC'S CONVENIENCE EDMONTON AB,Mac's,Shopping,Convenience Store
ESSO ON THE RUN MISSISSAUGA ON,Esso,Shopping,Convenience Store
PETRO POINTS REWARDS PETRO-CANADA ON,Petro-Canada,Transportation,Gas Station
PIONEER GAS #847 WINNIPEG MB,Pioneer,Transportation,Gas Station
HUSKY ENERGY CALGARY AB,Husky,Transportation,Gas Station
ULTRAMAR GAS MONCTON NB,Ultramar,Transportation,Gas Station
IRVING OIL HALIFAX NS,Irving Oil,Transportation,Gas Station
COSTCO GASOLINE VAUGHAN ON,Costco,Transportation,Gas Station
ENGIE ELECTRIC VEHICLE CHARGE ON,Engie,Transportation,EV Charging
FLO EV CHARGING MONTREAL QC,FLO,Transportation,EV Charging
CHARGEPOINT #28473 TORONTO ON,ChargePoint,Transportation,EV Charging
TESLA SUPERCHARGER BURLINGTON ON,Tesla,Transportation,EV Charging
ELECTRIFY CANADA MISSISSAUGA ON,Electrify Canada,Transportation,EV Charging
PETRO-CANADA EV CHARGE OTTAWA ON,Petro-Canada,Transportation,EV Charging
AMAZON* K92MX4LP3 VANCOUVER BC,Amazon,Shopping,Online Retail
AMAZON.CA* PQ7NK2VW1 VANCOUVER BC,Amazon,Shopping,Online Retail
AMAZON* RT5JM8KL0 TORONTO ON,Amazon,Shopping,Online Retail
AMAZON.CA* WM3ZQ9RP2 OTTAWA ON,Amazon,Shopping,Online Retail
AMAZON PRIME* NF8KL4MQ3 AMZN.CA ON,Amazon Prime,Entertainment,Subscription
PAYMENT FROM - *****12*9847,Payment,Payment,Credit
PAYMENT FROM - *****07*2158,Payment,Payment,Credit
INTERAC E-TRF FROM - ****4729,Interac,Payment,E-Transfer
ROGERS ******8473 888-764-3771 ON,Rogers,Utilities,Telecom
BELL MOBILITY ******2847 800-667-0123 ON,Bell,Utilities,Telecom
TELUS ******9284 866-558-2273 BC,Telus,Utilities,Telecom
VIRGIN PLUS VERDUN QC,Virgin Plus,Utilities,Telecom
FIDO ******7382 TORONTO ON,Fido,Utilities,Telecom
FREEDOM MOBILE ******2910 BC,Freedom Mobile,Utilities,Telecom
KOODO MOBILE BURNABY BC,Koodo Mobile,Utilities,Telecom
EVENTBRITE/TAMILECONOM SAINT JOHN NB,Eventbrite,Entertainment,Event Tickets
EVENTBRITE/2026ANNUALC SAINT JOHN NB,Eventbrite,Entertainment,Event Tickets
MIDI BISTRO COBOURG ON,Midi Bistro,Food & Dining,Restaurant
STAPLESPRINT.CA/439PG4 RICHMOND HILLON,Staples,Shopping,Office Supplies
STAPLESPRINT.CA/S01J37 RICHMOND HILLON,Staples,Shopping,Office Supplies
COMBAT HATE FOUNDATION COMBATANTISEMKS,Combat Hate Foundation,Finance,Charitable Donation
DOUBLETREE OTTAWA DT OTTAWA ON,DoubleTree,Travel & Accommodation,Hotel
MRS0080 STAYNER ON,Convenience Store,Shopping,Convenience Store
DOORDASH *ORDER DOORDASH.COM ON,DoorDash,Food & Dining,Delivery
RITUAL ORDER RITUAL.CO ON,Ritual,Food & Dining,Delivery
INSTACART *ORDER INSTACART.CA ON,Instacart,Food & Dining,Grocery Delivery
WALMART GROCERY DELIVERY MISSISSAUGA ON,Walmart,Food & Dining,Grocery Delivery
LOBLAWS PC EXPRESS TORONTO ON,Loblaws,Food & Dining,Grocery Delivery
VOILA BY SOBEYS HALIFAX NS,Sobeys,Food & Dining,Grocery Delivery
